"Fecha";"Mercado";"Producto";"Precio"
"20-10-10";"B.Blanca";"Girasol";"U$S 314.55"
"21-10-10";"B.Blanca";"Girasol";"U$S 317.08"
"25-10-10";"B.Blanca";"Girasol";"U$S 324.91"
"26-10-10";"B.Blanca";"Girasol";"U$S 324.66"
"28-10-10";"B.Blanca";"Girasol";"U$S 329.8"
"29-10-10";"B.Blanca";"Girasol";"U$S 329.8"
"01-11-10";"B.Blanca";"Girasol";"U$S 332.15"
"02-11-10";"B.Blanca";"Girasol";"U$S 332.24"
"03-11-10";"B.Blanca";"Girasol";"U$S 334.85"
"04-11-10";"B.Blanca";"Girasol";"U$S 342.26"
"05-11-10";"B.Blanca";"Girasol";"U$S 349.92"
"08-11-10";"B.Blanca";"Girasol";"U$S 349.48"
"09-11-10";"B.Blanca";"Girasol";"U$S 352.85"
"10-11-10";"B.Blanca";"Girasol";"U$S 352.18"
"11-11-10";"B.Blanca";"Girasol";"U$S 354.62"
"12-11-10";"B.Blanca";"Girasol";"U$S 341.74"
"15-11-10";"B.Blanca";"Girasol";"U$S 338.79"
"16-11-10";"B.Blanca";"Girasol";"U$S 328.47"
"17-11-10";"B.Blanca";"Girasol";"U$S 324.69"
"18-11-10";"B.Blanca";"Girasol";"U$S 329.73"
"19-11-10";"B.Blanca";"Girasol";"U$S 329.73"
"23-11-10";"B.Blanca";"Girasol";"U$S 327.21"
"24-11-10";"B.Blanca";"Girasol";"U$S 327.21"
"25-11-10";"B.Blanca";"Girasol";"U$S 327.04"
"26-11-10";"B.Blanca";"Girasol";"U$S 326.63"
"29-11-10";"B.Blanca";"Girasol";"U$S 326.22"
"30-11-10";"B.Blanca";"Girasol";"U$S 329.74"
"01-12-10";"B.Blanca";"Girasol";"U$S 332.25"
"02-12-10";"B.Blanca";"Girasol";"U$S 331.25"
"03-12-10";"B.Blanca";"Girasol";"U$S 338.11"
"06-12-10";"B.Blanca";"Girasol";"U$S 336.25"
"07-12-10";"B.Blanca";"Girasol";"U$S 338.79"
"09-12-10";"B.Blanca";"Girasol";"U$S 342.57"
"10-12-10";"B.Blanca";"Girasol";"U$S 342.14"
"13-12-10";"B.Blanca";"Girasol";"U$S 346.09"
"14-12-10";"B.Blanca";"Girasol";"U$S 346"
"15-12-10";"B.Blanca";"Girasol";"U$S 346"
"16-12-10";"B.Blanca";"Girasol";"U$S 345.91"
"17-12-10";"B.Blanca";"Girasol";"U$S 346"
"20-12-10";"B.Blanca";"Girasol";"U$S 351.03"
"21-12-10";"B.Blanca";"Girasol";"U$S 356.15"
"22-12-10";"B.Blanca";"Girasol";"U$S 361.28"
"23-12-10";"B.Blanca";"Girasol";"U$S 365.76"
"27-12-10";"B.Blanca";"Girasol";"U$S 365.21"
"28-12-10";"B.Blanca";"Girasol";"U$S 368"
"29-12-10";"B.Blanca";"Girasol";"U$S 368.28"
"30-12-10";"B.Blanca";"Girasol";"U$S 372.23"
"03-01-11";"B.Blanca";"Girasol";"U$S 372.51"
"04-01-11";"B.Blanca";"Girasol";"U$S 372.51"
"05-01-11";"B.Blanca";"Girasol";"U$S 372.61"
"06-01-11";"B.Blanca";"Girasol";"U$S 372.61"
"07-01-11";"B.Blanca";"Girasol";"U$S 372.05"
"10-01-11";"B.Blanca";"Girasol";"U$S 372.05"
"11-01-11";"B.Blanca";"Girasol";"U$S 374.56"
"12-01-11";"B.Blanca";"Girasol";"U$S 381.04"
"13-01-11";"B.Blanca";"Girasol";"U$S 381.04"
"14-01-11";"B.Blanca";"Girasol";"U$S 380.84"
"24-01-11";"B.Blanca";"Girasol";"U$S 380.18"
"25-01-11";"B.Blanca";"Girasol";"U$S 379.7"
"26-01-11";"B.Blanca";"Girasol";"U$S 379.7"
"27-01-11";"B.Blanca";"Girasol";"U$S 379.22"
"28-01-11";"B.Blanca";"Girasol";"U$S 378.66"
"31-01-11";"B.Blanca";"Girasol";"U$S 377.99"
"01-02-11";"B.Blanca";"Girasol";"U$S 377.9"
"02-02-11";"B.Blanca";"Girasol";"U$S 377.15"
"03-02-11";"B.Blanca";"Girasol";"U$S 377.33"
"04-02-11";"B.Blanca";"Girasol";"U$S 373.41"
"07-02-11";"B.Blanca";"Girasol";"U$S 374.06"
"08-02-11";"B.Blanca";"Girasol";"U$S 374.06"
"09-02-11";"B.Blanca";"Girasol";"U$S 374.06"
"10-02-11";"B.Blanca";"Girasol";"U$S 369.4"
"11-02-11";"B.Blanca";"Girasol";"U$S 366.73"
"14-02-11";"B.Blanca";"Girasol";"U$S 364.16"
"15-02-11";"B.Blanca";"Girasol";"U$S 357.76"
"16-02-11";"B.Blanca";"Girasol";"U$S 355.46"
"17-02-11";"B.Blanca";"Girasol";"U$S 350.4"
"18-02-11";"B.Blanca";"Girasol";"U$S 354.04"
"21-02-11";"B.Blanca";"Girasol";"U$S 353.77"
"22-02-11";"B.Blanca";"Girasol";"U$S 351.29"
"23-02-11";"B.Blanca";"Girasol";"U$S 351.2"
"24-02-11";"B.Blanca";"Girasol";"U$S 351.2"
"25-02-11";"B.Blanca";"Girasol";"U$S 351.2"
"28-02-11";"B.Blanca";"Girasol";"U$S 351.12"
"01-03-11";"B.Blanca";"Girasol";"U$S 351.03"
"02-03-11";"B.Blanca";"Girasol";"U$S 351.12"
"03-03-11";"B.Blanca";"Girasol";"U$S 353.69"
"04-03-11";"B.Blanca";"Girasol";"U$S 353.6"
"09-03-11";"B.Blanca";"Girasol";"U$S 353.33"
"10-03-11";"B.Blanca";"Girasol";"U$S 351.03"
"11-03-11";"B.Blanca";"Girasol";"U$S 342.6"
"14-03-11";"B.Blanca";"Girasol";"U$S 340.03"
"15-03-11";"B.Blanca";"Girasol";"U$S 329.7"
"16-03-11";"B.Blanca";"Girasol";"U$S 317.73"
"17-03-11";"B.Blanca";"Girasol";"U$S 319.39"
"18-03-11";"B.Blanca";"Girasol";"U$S 320.1"
"21-03-11";"B.Blanca";"Girasol";"U$S 319.23"
"22-03-11";"B.Blanca";"Girasol";"U$S 317.91"
"23-03-11";"B.Blanca";"Girasol";"U$S 317.91"
"28-03-11";"B.Blanca";"Girasol";"U$S 317.75"
"29-03-11";"B.Blanca";"Girasol";"U$S 317.52"
"30-03-11";"B.Blanca";"Girasol";"U$S 317.28"
"31-03-11";"B.Blanca";"Girasol";"U$S 318.94"
"01-04-11";"B.Blanca";"Girasol";"U$S 318.94"
"04-04-11";"B.Blanca";"Girasol";"U$S 322.06"
"05-04-11";"B.Blanca";"Girasol";"U$S 321.9"
"06-04-11";"B.Blanca";"Girasol";"U$S 331.77"
"07-04-11";"B.Blanca";"Girasol";"U$S 331.85"
"08-04-11";"B.Blanca";"Girasol";"U$S 332.1"
"11-04-11";"B.Blanca";"Girasol";"U$S 332.1"
"12-04-11";"B.Blanca";"Girasol";"U$S 324.29"
"13-04-11";"B.Blanca";"Girasol";"U$S 324.05"
"14-04-11";"B.Blanca";"Girasol";"U$S 323.33"
"15-04-11";"B.Blanca";"Girasol";"U$S 323.1"
"18-04-11";"B.Blanca";"Girasol";"U$S 322.78"
"19-04-11";"B.Blanca";"Girasol";"U$S 322.62"
"20-04-11";"B.Blanca";"Girasol";"U$S 322.38"
"25-04-11";"B.Blanca";"Girasol";"U$S 322.15"
"26-04-11";"B.Blanca";"Girasol";"U$S 322.15"
"27-04-11";"B.Blanca";"Girasol";"U$S 317.01"
"28-04-11";"B.Blanca";"Girasol";"U$S 314.95"
"29-04-11";"B.Blanca";"Girasol";"U$S 314.95"
"02-05-11";"B.Blanca";"Girasol";"U$S 315.03"
"03-05-11";"B.Blanca";"Girasol";"U$S 315.11"
"04-05-11";"B.Blanca";"Girasol";"U$S 316.25"
"05-05-11";"B.Blanca";"Girasol";"U$S 312.5"
"06-05-11";"B.Blanca";"Girasol";"U$S 312.42"
"09-05-11";"B.Blanca";"Girasol";"U$S 312.35"
"10-05-11";"B.Blanca";"Girasol";"U$S 312.42"
"11-05-11";"B.Blanca";"Girasol";"U$S 312.27"
"12-05-11";"B.Blanca";"Girasol";"U$S 312.35"
"13-05-11";"B.Blanca";"Girasol";"U$S 312.27"
"16-05-11";"B.Blanca";"Girasol";"U$S 312.19"
"17-05-11";"B.Blanca";"Girasol";"U$S 312.12"
"18-05-11";"B.Blanca";"Girasol";"U$S 312.04"
"19-05-11";"B.Blanca";"Girasol";"U$S 311.96"
"20-05-11";"B.Blanca";"Girasol";"U$S 312.04"
"23-05-11";"B.Blanca";"Girasol";"U$S 311.96"
"24-05-11";"B.Blanca";"Girasol";"U$S 312.04"
"26-05-11";"B.Blanca";"Girasol";"U$S 319.38"
"27-05-11";"B.Blanca";"Girasol";"U$S 329.17"
"30-05-11";"B.Blanca";"Girasol";"U$S 331.46"
"31-05-11";"B.Blanca";"Girasol";"U$S 332.52"
"01-06-11";"B.Blanca";"Girasol";"U$S 332.6"
"02-06-11";"B.Blanca";"Girasol";"U$S 332.52"
"03-06-11";"B.Blanca";"Girasol";"U$S 332.52"
"06-06-11";"B.Blanca";"Girasol";"U$S 329.91"
"07-06-11";"B.Blanca";"Girasol";"U$S 329.91"
"08-06-11";"B.Blanca";"Girasol";"U$S 329.91"
"09-06-11";"B.Blanca";"Girasol";"U$S 329.83"
"10-06-11";"B.Blanca";"Girasol";"U$S 329.91"
"13-06-11";"B.Blanca";"Girasol";"U$S 329.91"
"14-06-11";"B.Blanca";"Girasol";"U$S 329.83"
"15-06-11";"B.Blanca";"Girasol";"U$S 327.31"
"16-06-11";"B.Blanca";"Girasol";"U$S 324.87"
"17-06-11";"B.Blanca";"Girasol";"U$S 324.79"
"21-06-11";"B.Blanca";"Girasol";"U$S 324.55"
"22-06-11";"B.Blanca";"Girasol";"U$S 323.25"
"23-06-11";"B.Blanca";"Girasol";"U$S 312.27"
"24-06-11";"B.Blanca";"Girasol";"U$S 312.2"
"27-06-11";"B.Blanca";"Girasol";"U$S 312.04"
"28-06-11";"B.Blanca";"Girasol";"U$S 309.45"
"29-06-11";"B.Blanca";"Girasol";"U$S 309"
"01-07-11";"B.Blanca";"Girasol";"U$S 301.7"
"04-07-11";"B.Blanca";"Girasol";"U$S 301.34"
"05-07-11";"B.Blanca";"Girasol";"U$S 301.26"
"06-07-11";"B.Blanca";"Girasol";"U$S 301.12"
"07-07-11";"B.Blanca";"Girasol";"U$S 296.04"
"11-07-11";"B.Blanca";"Girasol";"U$S 293.55"
"12-07-11";"B.Blanca";"Girasol";"U$S 291.12"
"13-07-11";"B.Blanca";"Girasol";"U$S 291.12"
"14-07-11";"B.Blanca";"Girasol";"U$S 291.12"
"15-07-11";"B.Blanca";"Girasol";"U$S 290.91"
"18-07-11";"B.Blanca";"Girasol";"U$S 288.28"
"19-07-11";"B.Blanca";"Girasol";"U$S 287.72"
"20-07-11";"B.Blanca";"Girasol";"U$S 287.72"
"21-07-11";"B.Blanca";"Girasol";"U$S 287.51"
"22-07-11";"B.Blanca";"Girasol";"U$S 287.51"
"25-07-11";"B.Blanca";"Girasol";"U$S 287.79"
"26-07-11";"B.Blanca";"Girasol";"U$S 287.65"
"27-07-11";"B.Blanca";"Girasol";"U$S 287.58"
"28-07-11";"B.Blanca";"Girasol";"U$S 287.3"
"29-07-11";"B.Blanca";"Girasol";"U$S 287.09"
"01-08-11";"B.Blanca";"Girasol";"U$S 286.95"
"02-08-11";"B.Blanca";"Girasol";"U$S 286.89"
"03-08-11";"B.Blanca";"Girasol";"U$S 286.68"
"04-08-11";"B.Blanca";"Girasol";"U$S 286.54"
"05-08-11";"B.Blanca";"Girasol";"U$S 283.93"
"08-08-11";"B.Blanca";"Girasol";"U$S 284.06"
"09-08-11";"B.Blanca";"Girasol";"U$S 283.14"
"10-08-11";"B.Blanca";"Girasol";"U$S 283.86"
"11-08-11";"B.Blanca";"Girasol";"U$S 284.92"
"12-08-11";"B.Blanca";"Girasol";"U$S 288.6"
"15-08-11";"B.Blanca";"Girasol";"U$S 290.8"
"16-08-11";"B.Blanca";"Girasol";"U$S 290.66"
"17-08-11";"B.Blanca";"Girasol";"U$S 290.38"
"18-08-11";"B.Blanca";"Girasol";"U$S 289.96"
"19-08-11";"B.Blanca";"Girasol";"U$S 289.61"
"23-08-11";"B.Blanca";"Girasol";"U$S 291.59"
"24-08-11";"B.Blanca";"Girasol";"U$S 291.45"
"25-08-11";"B.Blanca";"Girasol";"U$S 291.52"
"26-08-11";"B.Blanca";"Girasol";"U$S 291.59"
"29-08-11";"B.Blanca";"Girasol";"U$S 294.89"
"30-08-11";"B.Blanca";"Girasol";"U$S 294.4"
"31-08-11";"B.Blanca";"Girasol";"U$S 294.05"
"01-09-11";"B.Blanca";"Girasol";"U$S 292.38"
"02-09-11";"B.Blanca";"Girasol";"U$S 293.91"
"05-09-11";"B.Blanca";"Girasol";"U$S 293.49"
"06-09-11";"B.Blanca";"Girasol";"U$S 293.49"
"07-09-11";"B.Blanca";"Girasol";"U$S 293.56"
"08-09-11";"B.Blanca";"Girasol";"U$S 293.91"
"09-09-11";"B.Blanca";"Girasol";"U$S 293.84"
"12-09-11";"B.Blanca";"Girasol";"U$S 293.77"
"13-09-11";"B.Blanca";"Girasol";"U$S 293.77"
"14-09-11";"B.Blanca";"Girasol";"U$S 293.77"
"15-09-11";"B.Blanca";"Girasol";"U$S 293.7"
"16-09-11";"B.Blanca";"Girasol";"U$S 291.32"
"19-09-11";"B.Blanca";"Girasol";"U$S 288.94"
"20-09-11";"B.Blanca";"Girasol";"U$S 287.59"
"21-09-11";"B.Blanca";"Girasol";"U$S 287.66"
"22-09-11";"B.Blanca";"Girasol";"U$S 283.33"
"23-09-11";"B.Blanca";"Girasol";"U$S 279.43"
"26-09-11";"B.Blanca";"Girasol";"U$S 273.48"
"27-09-11";"B.Blanca";"Girasol";"U$S 273.48"
"28-09-11";"B.Blanca";"Girasol";"U$S 272.29"
"30-09-11";"B.Blanca";"Girasol";"U$S 250.89"
"03-10-11";"B.Blanca";"Girasol";"U$S 250.89"
"04-10-11";"B.Blanca";"Girasol";"U$S 248.51"
"05-10-11";"B.Blanca";"Girasol";"U$S 248.4"
"06-10-11";"B.Blanca";"Girasol";"U$S 248.22"
"07-10-11";"B.Blanca";"Girasol";"U$S 248.22"
"11-10-11";"B.Blanca";"Girasol";"U$S 248.16"
"12-10-11";"B.Blanca";"Girasol";"U$S 257.66"
"13-10-11";"B.Blanca";"Girasol";"U$S 258.72"
"14-10-11";"B.Blanca";"Girasol";"U$S 259.72"
"17-10-11";"B.Blanca";"Girasol";"U$S 259.17"
"18-10-11";"B.Blanca";"Girasol";"U$S 256.8"
"19-10-11";"B.Blanca";"Girasol";"U$S 256.2"
"20-10-11";"B.Blanca";"Girasol";"U$S 251.48"
"21-10-11";"B.Blanca";"Girasol";"U$S 246.75"
"24-10-11";"B.Blanca";"Girasol";"U$S 246.69"
"25-10-11";"B.Blanca";"Girasol";"U$S 251.42"
"26-10-11";"B.Blanca";"Girasol";"U$S 256.14"
"27-10-11";"B.Blanca";"Girasol";"U$S 256.14"
"28-10-11";"B.Blanca";"Girasol";"U$S 263.22"
"31-10-11";"B.Blanca";"Girasol";"U$S 263.22"
"01-11-11";"B.Blanca";"Girasol";"U$S 262.91"
"02-11-11";"B.Blanca";"Girasol";"U$S 262.35"
"03-11-11";"B.Blanca";"Girasol";"U$S 262.35"
"04-11-11";"B.Blanca";"Girasol";"U$S 261.98"
